,whale,k,pool_ratio,size,duration,search_ratio,gas_fee,performance
0,0.0,5,0.2,100,1,0.5,0.2,0.682
0,0.0,5,0.2,100,1,1.0,0.0,0.735
0,0.0,5,0.2,100,1,1.0,0.05,0.7218
0,0.0,5,0.2,100,1,1.0,0.2,0.734
0,0.0,5,0.5,100,1,0.01,0.0,0.5798
0,0.0,5,0.5,100,1,0.01,0.05,0.5206
0,0.0,5,0.5,100,1,0.01,0.2,0.4414
0,0.0,5,0.5,100,1,0.05,0.0,0.5896
0,0.0,5,0.5,100,1,0.05,0.05,0.41
0,0.0,5,0.5,100,1,0.05,0.2,0.51
0,0.0,5,0.5,100,1,0.2,0.0,0.4804
0,0.0,5,0.5,100,1,0.2,0.05,0.4636
0,0.0,5,0.5,100,1,0.2,0.2,0.5492
0,0.0,5,0.5,100,1,0.5,0.0,0.7302
0,0.0,5,0.5,100,1,0.5,0.05,0.7402
0,0.0,5,0.5,100,1,0.5,0.2,0.7308
0,0.0,5,0.5,100,1,1.0,0.0,0.7214
0,0.0,5,0.5,100,1,1.0,0.05,0.7236
0,0.0,5,0.5,100,1,1.0,0.2,0.7378
0,0.0,5,0.05,100,5,0.01,0.0,0.5404
0,0.0,5,0.05,100,5,0.01,0.05,0.5104
0,0.0,5,0.05,100,5,0.01,0.2,0.4904
0,0.0,5,0.05,100,5,0.05,0.0,0.4306
0,0.0,5,0.05,100,5,0.05,0.05,0.5016
0,0.0,5,0.05,100,5,0.05,0.2,0.4304
0,0.0,5,0.05,100,5,0.2,0.0,0.5872
0,0.0,5,0.05,100,5,0.2,0.05,0.6322
0,0.0,5,0.05,100,5,0.2,0.2,0.6316
0,0.0,5,0.05,100,5,0.5,0.0,0.667
0,0.0,5,0.05,100,5,0.5,0.05,0.66
0,0.0,5,0.05,100,5,0.5,0.2,0.6674
0,0.0,5,0.05,100,5,1.0,0.0,0.6568
0,0.0,5,0.05,100,5,1.0,0.05,0.6772
0,0.0,5,0.05,100,5,1.0,0.2,0.682
0,0.0,5,0.2,100,5,0.01,0.0,0.4804
0,0.0,5,0.2,100,5,0.01,0.05,0.3806
0,0.0,5,0.2,100,5,0.01,0.2,0.5272
0,0.0,5,0.2,100,5,0.05,0.0,0.5744
0,0.0,5,0.2,100,5,0.05,0.05,0.5056
0,0.0,5,0.2,100,5,0.05,0.2,0.5334
0,0.0,5,0.2,100,5,0.2,0.0,0.6706
0,0.0,5,0.2,100,5,0.2,0.05,0.67
0,0.0,5,0.2,100,5,0.2,0.2,0.6774
0,0.0,5,0.2,100,5,0.5,0.0,0.7292
0,0.0,5,0.2,100,5,0.5,0.05,0.7164
0,0.0,5,0.2,100,5,0.5,0.2,0.7168
0,0.0,5,0.2,100,5,1.0,0.0,0.6964
0,0.0,5,0.2,100,5,1.0,0.05,0.709
0,0.0,5,0.2,100,5,1.0,0.2,0.726
0,0.0,5,0.5,100,5,0.01,0.0,0.4318
0,0.0,5,0.5,100,5,0.01,0.05,0.5102
